Company Name,,Weightage(%),Symbol,sector,SEBI Mcap Class
HDFC Bank Limited,,8.82,HDFCBANK.NS,Banks,Large Cap
Reliance Industries Limited,,7.31,RELIANCE.NS,Oil & gas,Large Cap
ICICI Bank Limited,,6.19,ICICIBANK.NS,Banks,Large Cap
Infosys Limited,,5.02,INFY.NS,IT,Large Cap
ITC Limited,,3.32,ITC.NS,Staples,Large Cap
Tata Consultancy Services Limited,,3.3,TCS.NS,IT,Large Cap
Larsen & Toubro Limited,,3.1,LT.NS,Industrials,Large Cap
Bharti Airtel Limited,,3.04,BHARTIARTL.NS,Tele & Media,Large Cap
Axis Bank Limited,,2.39,AXISBANK.NS,Banks,Large Cap
State Bank Of India,,2.24,SBIN.NS,Banks,Large Cap
Mahindra & Mahindra Limited,,1.95,M&M.NS,Auto & Anc,Large Cap
Kotak Mahindra Bank Limited,,1.87,KOTAKBANK.NS,Banks,Large Cap
Hindustan Unilever Limited,,1.77,HINDUNILVR.NS,Staples,Large Cap
Tata Motors Limited,,1.67,TATAMOTORS.NS,Auto & Anc,Large Cap
Bajaj Finance Limited,,1.44,BAJFINANCE.NS,NBFC,Large Cap
NTPC Limited,,1.42,NTPC.NS,Utilities,Large Cap
Sun Pharmaceutical Industries Limited,,1.41,SUNPHARMA.NS,Healthcare,Large Cap
HCL Technologies Limited,,1.33,HCLTECH.NS,IT,Large Cap
Maruti Suzuki India Limited,,1.17,MARUTI.NS,Auto & Anc,Large Cap
Trent Limited,,1.13,TRENT.NS,Discretionary,Large Cap
Zomato Limited,,1.11,ZOMATO.NS,Others,Large Cap
Power Grid Corporation Of India Limited,,1.1,POWERGRID.NS,Utilities,Large Cap
Titan Company Limited,,1.06,TITAN.NS,Discretionary,Large Cap
Asian Paints Limited,,1.01,ASIANPAINT.NS,Discretionary,Large Cap
Ultratech Cement Limited,,0.93,ULTRACEMCO.NS,Build Mate,Large Cap
Tata Steel Limited,,0.9,TATASTEEL.NS,Metals & min,Large Cap
Bajaj Auto Limited,,0.87,BAJAJ-AUTO.NS,Auto & Anc,Large Cap
Coal India Limited,,0.86,COALINDIA.NS,Metals & min,Large Cap
Bharat Electronics Limited,,0.77,BEL.NS,Discretionary,Large Cap
Jio Financial Services Limited,,0.76,JIOFIN.NS,NBFC,Large Cap
Tech Mahindra Limited,,0.74,TECHM.NS,IT,Large Cap
Hindalco Industries Limited,,0.73,HINDALCO.NS,Metals & min,Large Cap
Grasim Industries Limited,,0.71,GRASIM.NS,Others,Large Cap
IndusInd Bank Limited,,0.68,INDUSINDBK.NS,Banks,Large Cap
JSW Steel Limited,,0.64,JSWSTEEL.NS,Metals & min,Large Cap
Shriram Finance Limited,,0.64,SHRIRAMFIN.NS,NBFC,Large Cap
Hindustan Aeronautics Limited,,0.63,HAL.NS,Industrials,Large Cap
Cipla Limited,,0.62,CIPLA.NS,Healthcare,Large Cap
Dr. Reddy's Laboratories Limited,,0.61,DRREDDY.NS,Healthcare,Large Cap
SBI Life Insurance Company Limited,,0.6,SBILIFE.NS,NBFC,Large Cap
InterGlobe Aviation Limited,,0.57,INDIGO.NS,Transport,Large Cap
Power Finance Corporation Limited,,0.57,PFC.NS,NBFC,Large Cap
Adani Enterprises Limited,,0.57,ADANIENT.NS,Others,Large Cap
Tata Consumer Products Limited,,0.56,TATACONSUM.NS,Staples,Large Cap
HDFC Life Insurance Company Limited,,0.56,HDFCLIFE.NS,NBFC,Large Cap
Vedanta Limited,,0.56,VEDL.NS,Metals & min,Large Cap
REC Limited,,0.55,RECLimited.NS,NBFC,Large Cap
Wipro Limited,,0.54,WIPRO.NS,IT,Large Cap
Avenue Supermarts Limited,,0.53,DMART.NS,Discretionary,Large Cap
Varun Beverages Limited,,0.52,VBL.NS,Staples,Large Cap
Hero Motocorp Limited,,0.51,HEROMOTOCO.NS,Auto & Anc,Mid Cap
Apollo Hospitals Enterprise Limited,,0.5,APOLLOHOSP.NS,Healthcare,Large Cap
Bharat Petroleum Corporation Limited,,0.5,BPCL.NS,Oil & gas,Large Cap
Eicher Motors Limited,,0.49,EICHERMOT.NS,Auto & Anc,Large Cap
Britannia Industries Limited,,0.49,BRITANNIA.NS,Staples,Large Cap
Adani Green Energy Limited,,0.48,ADANIGREEN.NS,Utilities,Large Cap
TVS Motor Company Limited,,0.47,TVSMOTOR.NS,Auto & Anc,Large Cap
GAIL (India) Limited,,0.46,GAIL.NS,Oil & gas,Large Cap
Indian Oil Corporation Limited,,0.46,IOC.NS,Oil & gas,Large Cap
Divi's Laboratories Limited,,0.46,DIVISLAB.NS,Healthcare,Large Cap
Info Edge (India) Limited,,0.44,NAUKRI.NS,Others,Mid Cap
Siemens Limited,,0.44,SIEMENS.NS,Industrials,Large Cap
Siemens Limited,,0.44,SIEMENS.NS,Industrials,Large Cap
Adani Power Limited,,0.43,ADANIPOWER.NS,Utilities,Large Cap
LTIMindtree Limited,,0.42,LTIM.NS,IT,Large Cap
Godrej Consumer Products Limited,,0.4,GODREJCP.NS,Staples,Large Cap
DLF Limited,,0.4,DLF.NS,Build Mate,Large Cap
Samvardhana Motherson International Limited,,0.39,MOTHERSON.NS,Auto & Anc,Mid Cap
Colgate-Palmolive (India) Limited,,0.37,COLPAL.NS,Staples,Mid Cap
Pidilite Industries Limited,,0.35,PIDILITIND.NS,Agri & Chem,Large Cap
Havells India Limited,,0.34,HAVELLS.NS,Industrials,Large Cap
ABB India Limited,,0.31,ABB.NS,Industrials,Large Cap
Canara Bank,,0.3,CANBK.NS,Banks,Large Cap
Dabur India Limited,,0.27,DABUR.NS,Staples,Large Cap
SRF Limited,,0.27,SRF.NS,Agri & Chem,Large Cap
Adani Energy Solutions Limited,,0.26,ADANIENSOL.NS,Utilities,Large Cap
Jindal Steel & Power Limited,,0.26,JINDALSTEL.NS,Metals & min,Large Cap
Shree Cement Limited,,0.25,SHREECEM.NS,Build Mate,Large Cap
Punjab National Bank,,0.25,PNB.NS,Banks,Large Cap
Marico Limited,,0.24,MARICO.NS,Staples,Large Cap
Torrent Pharmaceuticals Limited,,0.23,TORNTPHARM.NS,Healthcare,Large Cap
Zydus Lifesciences Limited,,0.21,ZYDUSLIFE.NS,Healthcare,Mid Cap
Bosch Limited,,0.2,BOSCHLimited.NS,Auto & Anc,Mid Cap
Adani Total Gas Limited,,0.2,ATGL.NS,Oil & gas,Large Cap
Life Insurance Corporation of India,,0.15,LICI.NS,NBFC,Large Cap
Berger Paints India Limited,,0.14,BERGEPAINT.NS,Discretionary,Large Cap
RBL Bank Limited,as per NIFTY 500,0.03 ,RBLBANK.NS,Banks,Mid Cap
Sundaram Finance Limited,as per NIFTY 500,0.14,SUNDARMFIN.NS,NBFC,Large Cap
Bank of Maharashtra,as per NIFTY 500,0.10 ,MAHABANK.NS,Banks,Mid Cap
Jyothy Labs Limited ,as per NIFTY 500,0.05,JYOTHYLAB.NS,Staples,Small Cap
Petronet LNG Limited,as per NIFTY 500,0.13,PETRONET.NS,Oil & gas,Mid Cap
Aditya Birla Capital Limited,as per NIFTY 500,0.14,ABCAPITAL.NS,NBFC,Mid Cap
Punjab & Sind Bank,as pe NIFTY PSU BANK,2.25,PSB.NS,Banks,Mid Cap
RITES Limited,as pe NIFTY PSU BANK,0.04,RITES.NS,Industrials,Small Cap
MOIL Limited,S&P BSE ALLCAP,0.02,MOIL.NS,Metals & min,Small Cap
Hindalco Industries Limited,NIFTY 500 Index,0.41,HINDALCO.NS,Metals & min,Large Cap
Grasim Industries Limited,NIFTY 500 Index,0.46,GRASIM.NS,Others,Large Cap
Biocon Limited,NIFTY 500 Index,0.1,BIOCON.NS,Healthcare,Mid Cap
Hinduja Global Solutions Limited,S&P BSE ALLCAP,0.01,HGS.NS,IT,Small Cap
Sundaram Finance Holdings Limited,Random ,0.01,SUNDARMHLD.NS,NBFC,Small Cap
